			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  75   |       227176       |      961       |    9     |        9        |   Поворот 180 град    |   [-1940, -772]    |
|  76   |       227176       |      731       |    7     |        0        |   Поворот 180 град    |     не найдено     |
|  77   |       227176       |      501       |    10    |        0        |   Поворот 180 град    |     не найдено     |
|  78   |       227176       |      317       |    94    |        0        |   Поворот 180 град    |     не найдено     |
|  79   |       227176       |      139       |    1     |        0        |   Поворот 180 град    |     не найдено     |
|  80   |       227176       |      547       |    10    |        0        |   Поворот 180 град    |     не найдено     |
|  81   |       227176       |      615       |    2     |        0        |   Поворот 180 град    |     не найдено     |
|  82   |       227176       |      415       |    2     |        0        |   Поворот 180 град    |     не найдено     |
|  83   |       227176       |      598       |    14    |        0        |   Поворот 180 град    |     не найдено     |
|  84   |       227176       |      610       |    5     |        0        |   Поворот 180 град    |     не найдено     |
|  85   |       227176       |      275       |    2     |        0        |   Поворот 180 град    |     не найдено     |
|  86   |       227176       |      848       |    35    |       31        |   Поворот 180 град    |   [-1401, -2020]   |
|  87   |       227176       |      141       |    12    |        0        |   Поворот 180 град    |     не найдено     |
|  88   |       227176       |      112       |    4     |        0        |   Поворот 180 град    |     не найдено     |
|  89   |       227176       |      584       |    12    |        0        |   Поворот 180 град    |     не найдено     |
|  90   |       227176       |      428       |    4     |        4        |   Поворот 180 град    |   [-3828, -1820]   |
|  91   |       227176       |       0        |    0     |        0        |   Поворот 180 град    |     не найдено     |
|  92   |       227176       |       11       |    9     |        0        |   Поворот 180 град    |     не найдено     |
|  93   |       227176       |       90       |    29    |        0        |   Поворот 180 град    |     не найдено     |
|  94   |       227176       |       9        |    1     |        0        |   Поворот 180 град    |     не найдено     |
|  95   |       227176       |      487       |    4     |        0        |   Поворот 180 град    |     не найдено     |
|  96   |       227176       |       67       |    0     |        0        |   Поворот 180 град    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  97   |       227176       |      199       |    11    |        0        |      Яркость +30      |     не найдено     |
|  98   |       227176       |      712       |    12    |        0        |      Яркость +30      |     не найдено     |
|  99   |       227176       |      958       |    8     |        8        |      Яркость +30      |   [-1947, -770]    |
|  100  |       227176       |      741       |    3     |        3        |      Яркость +30      |   [-2462, -709]    |
|  101  |       227176       |      513       |    2     |        0        |      Яркость +30      |     не найдено     |
|  102  |       227176       |      321       |    94    |        0        |      Яркость +30      |     не найдено     |
|  103  |       227176       |      141       |    1     |        0        |      Яркость +30      |     не найдено     |
|  104  |       227176       |      552       |    14    |        0        |      Яркость +30      |     не найдено     |
|  105  |       227176       |      622       |    3     |        3        |      Яркость +30      |   [-1896, -1406]   |
|  106  |       227176       |      406       |    1     |        0        |      Яркость +30      |     не найдено     |
|  107  |       227176       |      589       |    1     |        0        |      Яркость +30      |     не найдено     |
|  108  |       227176       |      598       |    6     |        6        |      Яркость +30      |   [-3830, -1244]   |
|  109  |       227176       |      292       |    0     |        0        |      Яркость +30      |     не найдено     |
|  110  |       227176       |      839       |    38    |       11        |      Яркость +30      |   [-1453, -2026]   |
|  111  |       227176       |      148       |    16    |        0        |      Яркость +30      |     не найдено     |
|  112  |       227176       |      111       |    3     |        0        |      Яркость +30      |     не найдено     |
|  113  |       227176       |      560       |    11    |        3        |      Яркость +30      |   [-3215, -1929]   |
|  114  |       227176       |      413       |    6     |        6        |      Яркость +30      |   [-3868, -1857]   |
|  115  |       227176       |       0        |    0     |        0        |      Яркость +30      |     не найдено     |
|  116  |       227176       |       12       |    6     |        0        |      Яркость +30      |     не найдено     |
|  117  |       227176       |       93       |    30    |        0        |      Яркость +30      |     не найдено     |
|  118  |       227176       |       8        |    1     |        0        |      Яркость +30      |     не найдено     |
|  119  |       227176       |      521       |    7     |        0        |      Яркость +30      |     не найдено     |
|  120  |       227176       |       60       |    0     |        0        |      Яркость +30      |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  121  |       227176       |      386       |    1     |        0        |      Яркость -30      |     не найдено     |
|  122  |       227176       |      922       |    11    |        0        |      Яркость -30      |     не найдено     |
|  123  |       227176       |      1252      |    17    |        0        |      Яркость -30      |     не найдено     |
|  124  |       227176       |      944       |    13    |        1        |      Яркость -30      |     не найдено     |
|  125  |       227176       |      695       |    3     |        3        |      Яркость -30      |   [-3161, -586]    |
|  126  |       227176       |      556       |    17    |        0        |      Яркость -30      |     не найдено     |
|  127  |       227176       |      252       |    4     |        0        |      Яркость -30      |     не найдено     |
|  128  |       227176       |      579       |    12    |        0        |      Яркость -30      |     не найдено     |
|  129  |       227176       |      605       |    2     |        0        |      Яркость -30      |     не найдено     |
|  130  |       227176       |      414       |    4     |        1        |      Яркость -30      |     не найдено     |
|  131  |       227176       |      616       |    0     |        0        |      Яркость -30      |     не найдено     |
|  132  |       227176       |      763       |    3     |        3        |      Яркость -30      |   [-3879, -1229]   |
|  133  |       227176       |      296       |    0     |        0        |      Яркость -30      |     не найдено     |
|  134  |       227176       |      857       |    36    |       35        |      Яркость -30      |   [-1393, -2018]   |
|  135  |       227176       |      139       |    21    |        0        |      Яркость -30      |     не найдено     |
|  136  |       227176       |      112       |    3     |        0        |      Яркость -30      |     не найдено     |
|  137  |       227176       |      700       |    7     |        0        |      Яркость -30      |     не найдено     |
|  138  |       227176       |      690       |    4     |        0        |      Яркость -30      |     не найдено     |
|  139  |       227176       |       0        |    0     |        0        |      Яркость -30      |     не найдено     |
|  140  |       227176       |      382       |    1     |        0        |      Яркость -30      |     не найдено     |
|  141  |       227176       |       87       |    26    |        0        |      Яркость -30      |     не найдено     |
|  142  |       227176       |       7        |    3     |        0        |      Яркость -30      |     не найдено     |
|  143  |       227176       |      519       |    7     |        2        |      Яркость -30      |   [-3308, -2456]   |
|  144  |       227176       |      870       |    0     |        0        |      Яркость -30      |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  145  |       227176       |      240       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  146  |       227176       |      902       |    14    |        0        |   Добавление шумов    |     не найдено     |
|  147  |       227176       |      974       |    3     |        3        |   Добавление шумов    |   [-1942, -756]    |
|  148  |       227176       |      818       |    6     |        0        |   Добавление шумов    |     не найдено     |
|  149  |       227176       |      638       |    3     |        0        |   Добавление шумов    |     не найдено     |
|  150  |       227176       |      391       |    2     |        0        |   Добавление шумов    |     не найдено     |
|  151  |       227176       |      181       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  152  |       227176       |      652       |    22    |        0        |   Добавление шумов    |     не найдено     |
|  153  |       227176       |      678       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  154  |       227176       |      523       |    3     |        0        |   Добавление шумов    |     не найдено     |
|  155  |       227176       |      770       |    14    |        0        |   Добавление шумов    |     не найдено     |
|  156  |       227176       |      671       |    3     |        0        |   Добавление шумов    |     не найдено     |
|  157  |       227176       |      437       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  158  |       227176       |      901       |    36    |       31        |   Добавление шумов    |   [-1403, -2003]   |
|  159  |       227176       |      393       |    2     |        0        |   Добавление шумов    |     не найдено     |
|  160  |       227176       |      286       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  161  |       227176       |      687       |    6     |        6        |   Добавление шумов    |   [-3239, -1904]   |
|  162  |       227176       |      533       |    3     |        3        |   Добавление шумов    |   [-3840, -1867]   |
|  163  |       227176       |       9        |    0     |        0        |   Добавление шумов    |     не найдено     |
|  164  |       227176       |       12       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  165  |       227176       |      165       |    12    |        1        |   Добавление шумов    |     не найдено     |
|  166  |       227176       |       10       |    5     |        0        |   Добавление шумов    |     не найдено     |
|  167  |       227176       |      554       |    2     |        0        |   Добавление шумов    |     не найдено     |
|  168  |       227176       |       56       |    0     |        0        |   Добавление шумов    |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
|  169  |       227176       |       88       |    3     |        0        |   Размытость (5, 5)   |     не найдено     |
|  170  |       227176       |      291       |    16    |        0        |   Размытость (5, 5)   |     не найдено     |
|  171  |       227176       |      244       |    7     |        7        |   Размытость (5, 5)   |   [-1952, -754]    |
|  172  |       227176       |      272       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  173  |       227176       |      211       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  174  |       227176       |      118       |    19    |        0        |   Размытость (5, 5)   |     не найдено     |
|  175  |       227176       |       69       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  176  |       227176       |      220       |    5     |        4        |   Размытость (5, 5)   |   [-1394, -1438]   |
|  177  |       227176       |      227       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  178  |       227176       |      157       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  179  |       227176       |      217       |    17    |        0        |   Размытость (5, 5)   |     не найдено     |
|  180  |       227176       |      245       |    15    |        0        |   Размытость (5, 5)   |     не найдено     |
|  181  |       227176       |      149       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  182  |       227176       |      333       |    26    |       24        |   Размытость (5, 5)   |   [-1391, -2020]   |
|  183  |       227176       |       55       |    10    |        0        |   Размытость (5, 5)   |     не найдено     |
|  184  |       227176       |       28       |    3     |        0        |   Размытость (5, 5)   |     не найдено     |
|  185  |       227176       |      170       |    7     |        0        |   Размытость (5, 5)   |     не найдено     |
|  186  |       227176       |      205       |    3     |        3        |   Размытость (5, 5)   |   [-3828, -1851]   |
|  187  |       227176       |       0        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  188  |       227176       |       2        |    4     |        0        |   Размытость (5, 5)   |     не найдено     |
|  189  |       227176       |       30       |    11    |        5        |   Размытость (5, 5)   |   [-2117, -2570]   |
|  190  |       227176       |       1        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  191  |       227176       |      166       |    2     |        0        |   Размытость (5, 5)   |     не найдено     |
|  192  |       227176       |       8        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 25.0 раз.
Из 192 сравнений найдено координат: 39. процент нахождения - 20.3 %

-------------------------------------------------------------------------------------------------------------------------


Время выполнения программы: 5 мин. 25 сек.
Среднее время выполнения одного вычисления: 462 миллисекунд.
Из 704 сравнений найдено координат: 302. процент нахождения - 42.9 %


Имитация высоты полета на 50.0 м. Разница высот с опорным изображением в 10.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|% найденных |  0 % (0 из 20)   | 70 % (14 из 20)  | 65 % (13 из 20)  | 80 % (16 из 20)  | 80 % (16 из 20)  | 70 % (14 из 20)  | 85 % (17 из 20)  | 70 % (14 из 20)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------


Имитация высоты полета на 33.33 м. Разница высот с опорным изображением в 15.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|% найденных |  0 % (0 из 20)   | 70 % (14 из 20)  | 60 % (12 из 20)  | 60 % (12 из 20)  | 50 % (10 из 20)  |  45 % (9 из 20)  | 50 % (10 из 20)  |  45 % (9 из 20)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------


Имитация высоты полета на 25.0 м. Разница высот с опорным изображением в 20.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|% найденных |  0 % (0 из 24)   |  33 % (8 из 24)  | 41 % (10 из 24)  |  33 % (8 из 24)  |  25 % (6 из 24)  |  20 % (5 из 24)  |  29 % (7 из 24)  |  29 % (7 из 24)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------


Имитация высоты полета на 20.0 м. Разница высот с опорным изображением в 25.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|% найденных |  0 % (0 из 24)   |  16 % (4 из 24)  |  20 % (5 из 24)  |  12 % (3 из 24)  |  29 % (7 из 24)  |  16 % (4 из 24)  |  16 % (4 из 24)  |  20 % (5 из 24)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
