			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  124  |       227176       |      4133      |    14    |        9        |   Добавление шумов    |   [-2620, -608]    |
|  125  |       227176       |      3057      |    21    |       17        |   Добавление шумов    |   [-3074, -536]    |
|  126  |       227176       |      2619      |    16    |       12        |   Добавление шумов    |   [-703, -1363]    |
|  127  |       227176       |      3512      |    13    |       13        |   Добавление шумов    |   [-1216, -1339]   |
|  128  |       227176       |      4834      |    11    |       11        |   Добавление шумов    |   [-1828, -1315]   |
|  129  |       227176       |      4234      |    32    |       31        |   Добавление шумов    |   [-2548, -1268]   |
|  130  |       227176       |      4556      |    16    |       14        |   Добавление шумов    |   [-3145, -1269]   |
|  131  |       227176       |      2823      |    2     |        0        |   Добавление шумов    |     не найдено     |
|  132  |       227176       |      3668      |    88    |       85        |   Добавление шумов    |   [-1268, -1913]   |
|  133  |       227176       |      3043      |    42    |       34        |   Добавление шумов    |   [-1914, -1959]   |
|  134  |       227176       |      2371      |    18    |       17        |   Добавление шумов    |   [-2516, -1850]   |
|  135  |       227176       |      4309      |    27    |       16        |   Добавление шумов    |   [-3187, -1742]   |
|  136  |       227176       |       11       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  137  |       227176       |      124       |    0     |        0        |   Добавление шумов    |     не найдено     |
|  138  |       227176       |      858       |    10    |       10        |   Добавление шумов    |   [-2025, -2417]   |
|  139  |       227176       |      722       |    12    |       12        |   Добавление шумов    |   [-2749, -2448]   |
|  140  |       227176       |      1455      |    12    |       11        |   Добавление шумов    |   [-3044, -2394]   |
-------------------------------------------------------------------------------------------------------------------------
|  141  |       227176       |      895       |    5     |        5        |   Размытость (5, 5)   |    [-637, -822]    |
|  142  |       227176       |      1777      |    20    |        0        |   Размытость (5, 5)   |     не найдено     |
|  143  |       227176       |      1533      |    48    |       46        |   Размытость (5, 5)   |   [-1850, -683]    |
|  144  |       227176       |      1349      |    10    |        0        |   Размытость (5, 5)   |     не найдено     |
|  145  |       227176       |      959       |    23    |       17        |   Размытость (5, 5)   |   [-3061, -655]    |
|  146  |       227176       |      902       |    19    |       18        |   Размытость (5, 5)   |   [-624, -1366]    |
|  147  |       227176       |      1030      |    27    |        2        |   Размытость (5, 5)   |   [-1479, -1350]   |
|  148  |       227176       |      1514      |    14    |        5        |   Размытость (5, 5)   |   [-2006, -1380]   |
|  149  |       227176       |      1516      |    23    |       21        |   Размытость (5, 5)   |   [-2432, -1281]   |
|  150  |       227176       |      1405      |    17    |       16        |   Размытость (5, 5)   |   [-3111, -1234]   |
|  151  |       227176       |      1142      |    7     |        7        |   Размытость (5, 5)   |   [-771, -1938]    |
|  152  |       227176       |      1318      |    83    |       78        |   Размытость (5, 5)   |   [-1268, -1917]   |
|  153  |       227176       |      745       |    39    |       29        |   Размытость (5, 5)   |   [-1877, -1960]   |
|  154  |       227176       |      569       |    13    |        7        |   Размытость (5, 5)   |   [-2473, -1812]   |
|  155  |       227176       |      1599      |    23    |       22        |   Размытость (5, 5)   |   [-3131, -1801]   |
|  156  |       227176       |       2        |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  157  |       227176       |       18       |    0     |        0        |   Размытость (5, 5)   |     не найдено     |
|  158  |       227176       |      156       |    11    |       11        |   Размытость (5, 5)   |   [-2034, -2417]   |
|  159  |       227176       |      255       |    28    |        1        |   Размытость (5, 5)   |     не найдено     |
|  160  |       227176       |      425       |    30    |        0        |   Размытость (5, 5)   |     не найдено     |
-------------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 10.0 раз.
Из 160 сравнений найдено координат: 120. процент нахождения - 75.0 %

-------------------------------------------------------------------------------------------------------------------------

Имитация высоты полета на 33.33 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|   1   |       227176       |      784       |    12    |        0        |     Без искажений     |     не найдено     |
|   2   |       227176       |      1929      |    14    |        7        |     Без искажений     |   [-1251, -734]    |
|   3   |       227176       |      2075      |    37    |       36        |     Без искажений     |   [-1887, -733]    |
|   4   |       227176       |      1733      |    4     |        4        |     Без искажений     |   [-2463, -592]    |
|   5   |       227176       |      1190      |    2     |        0        |     Без искажений     |     не найдено     |
|   6   |       227176       |      690       |    10    |       10        |     Без искажений     |   [-704, -1479]    |
|   7   |       227176       |      1042      |    26    |        0        |     Без искажений     |     не найдено     |
|   8   |       227176       |      1885      |    20    |        0        |     Без искажений     |     не найдено     |
|   9   |       227176       |      1534      |    7     |        6        |     Без искажений     |   [-2662, -1292]   |
|  10   |       227176       |      1453      |    10    |       10        |     Без искажений     |   [-3214, -1287]   |
|  11   |       227176       |      858       |    4     |        1        |     Без искажений     |     не найдено     |
|  12   |       227176       |      1899      |    97    |       96        |     Без искажений     |   [-1361, -1988]   |
|  13   |       227176       |      545       |    13    |       13        |     Без искажений     |   [-1935, -1923]   |
|  14   |       227176       |      357       |    17    |        9        |     Без искажений     |   [-2587, -1849]   |
|  15   |       227176       |      1248      |    11    |       10        |     Без искажений     |   [-3146, -1867]   |
|  16   |       227176       |       0        |    0     |        0        |     Без искажений     |     не найдено     |
|  17   |       227176       |       15       |    0     |        0        |     Без искажений     |     не найдено     |
|  18   |       227176       |      180       |    20    |        0        |     Без искажений     |     не найдено     |
|  19   |       227176       |       32       |    2     |        0        |     Без искажений     |     не найдено     |
|  20   |       227176       |      971       |    15    |        4        |     Без искажений     |   [-3184, -2416]   |
-------------------------------------------------------------------------------------------------------------------------
|  21   |       227176       |      610       |    3     |        3        |    Поворот 60 град    |    [-716, -828]    |
