			Протокол прохода WK_00002 над изображением WK_00003 с шагом 1000 пикселей.


Имитация высоты полета на 30.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
|  79   |       89205        |      131       |    5     |        3        |  Поворот 180 град  |    [932, 1375]     |
|  80   |       89205        |       24       |    4     |        4        |  Поворот 180 град  |    [1696, 1369]    |
|  81   |       89205        |      215       |    22    |       19        |  Поворот 180 град  |    [2311, 1353]    |
|  82   |       89205        |      139       |    30    |       14        |  Поворот 180 град  |    [3044, 1327]    |
|  83   |       89205        |      278       |    32    |       16        |  Поворот 180 град  |    [3589, 1263]    |
|  84   |       89205        |      146       |    27    |       26        |  Поворот 180 град  |    [4412, 1242]    |
|  85   |       89205        |      244       |    40    |       32        |  Поворот 180 град  |    [1016, 2091]    |
|  86   |       89205        |       81       |    6     |        6        |  Поворот 180 град  |    [1635, 2062]    |
|  87   |       89205        |       56       |    25    |       19        |  Поворот 180 град  |    [2354, 2010]    |
|  88   |       89205        |      122       |    4     |        3        |  Поворот 180 град  |    [3089, 1992]    |
|  89   |       89205        |      143       |    7     |        7        |  Поворот 180 град  |    [3731, 1947]    |
|  90   |       89205        |       28       |    0     |        0        |  Поворот 180 град  |     не найдено     |
|  91   |       89205        |      118       |    15    |       14        |  Поворот 180 град  |    [1030, 2752]    |
|  92   |       89205        |      136       |    30    |       25        |  Поворот 180 град  |    [1675, 2749]    |
|  93   |       89205        |       16       |    1     |        0        |  Поворот 180 град  |     не найдено     |
|  94   |       89205        |      112       |    17    |       12        |  Поворот 180 град  |    [3082, 2640]    |
|  95   |       89205        |      126       |    20    |       18        |  Поворот 180 град  |    [3774, 2615]    |
|  96   |       89205        |       45       |    1     |        0        |  Поворот 180 град  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  97   |       89205        |       64       |    5     |        5        |    Яркость +30     |     [884, 735]     |
|  98   |       89205        |      106       |    0     |        0        |    Яркость +30     |     не найдено     |
|  99   |       89205        |       61       |    10    |        7        |    Яркость +30     |    [2257, 653]     |
|  100  |       89205        |      115       |    31    |       13        |    Яркость +30     |    [2995, 666]     |
|  101  |       89205        |      288       |    17    |       15        |    Яркость +30     |    [3642, 625]     |
|  102  |       89205        |      132       |    27    |        2        |    Яркость +30     |    [3622, 468]     |
|  103  |       89205        |      126       |    6     |        6        |    Яркость +30     |    [969, 1394]     |
|  104  |       89205        |       20       |    4     |        4        |    Яркость +30     |    [1696, 1369]    |
|  105  |       89205        |      214       |    25    |       22        |    Яркость +30     |    [2310, 1364]    |
|  106  |       89205        |      120       |    13    |       10        |    Яркость +30     |    [3044, 1329]    |
|  107  |       89205        |      254       |    52    |       16        |    Яркость +30     |    [3671, 1309]    |
|  108  |       89205        |      156       |    31    |       28        |    Яркость +30     |    [4390, 1238]    |
|  109  |       89205        |      248       |    45    |       31        |    Яркость +30     |    [1022, 2093]    |
|  110  |       89205        |       87       |    10    |        8        |    Яркость +30     |    [1646, 2050]    |
|  111  |       89205        |       57       |    28    |       23        |    Яркость +30     |    [2354, 2010]    |
|  112  |       89205        |      135       |    8     |        6        |    Яркость +30     |    [3046, 1994]    |
|  113  |       89205        |      142       |    9     |        9        |    Яркость +30     |    [3731, 1947]    |
|  114  |       89205        |       27       |    0     |        0        |    Яркость +30     |     не найдено     |
|  115  |       89205        |      116       |    12    |       11        |    Яркость +30     |    [1025, 2751]    |
|  116  |       89205        |      138       |    31    |       26        |    Яркость +30     |    [1671, 2749]    |
|  117  |       89205        |       16       |    1     |        0        |    Яркость +30     |     не найдено     |
|  118  |       89205        |      110       |    19    |        8        |    Яркость +30     |    [3094, 2639]    |
|  119  |       89205        |      125       |    26    |       21        |    Яркость +30     |    [3771, 2618]    |
|  120  |       89205        |       46       |    1     |        0        |    Яркость +30     |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  121  |       89205        |      149       |    3     |        3        |    Яркость -30     |     [876, 737]     |
|  122  |       89205        |      156       |    14    |        0        |    Яркость -30     |     не найдено     |
|  123  |       89205        |      101       |    9     |        5        |    Яркость -30     |    [2258, 664]     |
|  124  |       89205        |      126       |    28    |       13        |    Яркость -30     |    [2997, 683]     |
|  125  |       89205        |      338       |    15    |       12        |    Яркость -30     |    [3662, 602]     |
|  126  |       89205        |      130       |    21    |        2        |    Яркость -30     |    [3622, 468]     |
|  127  |       89205        |      158       |    5     |        4        |    Яркость -30     |    [1004, 1409]    |
|  128  |       89205        |       25       |    4     |        4        |    Яркость -30     |    [1696, 1369]    |
|  129  |       89205        |      222       |    25    |       22        |    Яркость -30     |    [2310, 1364]    |
|  130  |       89205        |      135       |    16    |       16        |    Яркость -30     |    [3044, 1327]    |
|  131  |       89205        |      271       |    50    |       17        |    Яркость -30     |    [3672, 1308]    |
|  132  |       89205        |      311       |    14    |       13        |    Яркость -30     |    [4390, 1255]    |
|  133  |       89205        |      261       |    48    |       28        |    Яркость -30     |    [1020, 2089]    |
|  134  |       89205        |       88       |    9     |        8        |    Яркость -30     |    [1646, 2062]    |
|  135  |       89205        |       54       |    28    |       23        |    Яркость -30     |    [2354, 2010]    |
|  136  |       89205        |      134       |    8     |        5        |    Яркость -30     |    [3063, 1988]    |
|  137  |       89205        |      196       |    6     |        6        |    Яркость -30     |    [3741, 1947]    |
|  138  |       89205        |      104       |    0     |        0        |    Яркость -30     |     не найдено     |
|  139  |       89205        |      151       |    9     |        9        |    Яркость -30     |    [1050, 2752]    |
|  140  |       89205        |      164       |    29    |       16        |    Яркость -30     |    [1627, 2740]    |
|  141  |       89205        |       28       |    60    |        0        |    Яркость -30     |     не найдено     |
|  142  |       89205        |      124       |    18    |        8        |    Яркость -30     |    [3094, 2639]    |
|  143  |       89205        |      132       |    26    |       22        |    Яркость -30     |    [3775, 2615]    |
|  144  |       89205        |      126       |    0     |        0        |    Яркость -30     |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  145  |       89205        |       79       |    9     |        8        |  Добавление шумов  |     [929, 724]     |
|  146  |       89205        |      160       |   104    |        9        |  Добавление шумов  |    [3462, 2112]    |
|  147  |       89205        |       92       |    9     |        5        |  Добавление шумов  |    [2198, 661]     |
|  148  |       89205        |      199       |    15    |       12        |  Добавление шумов  |    [3013, 684]     |
|  149  |       89205        |      398       |    10    |       10        |  Добавление шумов  |    [3685, 599]     |
|  150  |       89205        |      187       |    18    |       10        |  Добавление шумов  |    [4295, 511]     |
|  151  |       89205        |      262       |    6     |        5        |  Добавление шумов  |    [919, 1400]     |
|  152  |       89205        |       61       |    3     |        3        |  Добавление шумов  |    [1696, 1354]    |
|  153  |       89205        |      242       |    8     |        6        |  Добавление шумов  |    [2327, 1358]    |
|  154  |       89205        |      281       |    12    |       12        |  Добавление шумов  |    [3056, 1341]    |
|  155  |       89205        |      335       |    24    |       15        |  Добавление шумов  |    [3717, 1291]    |
|  156  |       89205        |      190       |    14    |       14        |  Добавление шумов  |    [4418, 1237]    |
|  157  |       89205        |      343       |    29    |       28        |  Добавление шумов  |    [1014, 2095]    |
|  158  |       89205        |       84       |    4     |        4        |  Добавление шумов  |    [1646, 2067]    |
|  159  |       89205        |      149       |    17    |       17        |  Добавление шумов  |    [2338, 2016]    |
|  160  |       89205        |      164       |    1     |        0        |  Добавление шумов  |     не найдено     |
|  161  |       89205        |      233       |    8     |        8        |  Добавление шумов  |    [3730, 1965]    |
|  162  |       89205        |       46       |    0     |        0        |  Добавление шумов  |     не найдено     |
|  163  |       89205        |      171       |    12    |       12        |  Добавление шумов  |    [1030, 2752]    |
|  164  |       89205        |      199       |    29    |       28        |  Добавление шумов  |    [1683, 2740]    |
|  165  |       89205        |       23       |    1     |        0        |  Добавление шумов  |     не найдено     |
|  166  |       89205        |      180       |    7     |        6        |  Добавление шумов  |    [3124, 2638]    |
|  167  |       89205        |      171       |    19    |       18        |  Добавление шумов  |    [3772, 2624]    |
|  168  |       89205        |       61       |    0     |        0        |  Добавление шумов  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
|  169  |       89205        |       34       |    2     |        0        | Размытость (5, 5)  |     не найдено     |
|  170  |       89205        |       61       |    8     |        0        | Размытость (5, 5)  |     не найдено     |
|  171  |       89205        |       36       |    5     |        4        | Размытость (5, 5)  |    [2267, 687]     |
|  172  |       89205        |       51       |    8     |        5        | Размытость (5, 5)  |    [2971, 664]     |
|  173  |       89205        |      185       |    6     |        6        | Размытость (5, 5)  |    [3682, 602]     |
|  174  |       89205        |       69       |    17    |        8        | Размытость (5, 5)  |    [4295, 510]     |
|  175  |       89205        |       68       |    2     |        0        | Размытость (5, 5)  |     не найдено     |
|  176  |       89205        |       13       |    2     |        0        | Размытость (5, 5)  |     не найдено     |
|  177  |       89205        |       79       |    7     |        5        | Размытость (5, 5)  |    [2317, 1367]    |
|  178  |       89205        |       60       |    21    |        1        | Размытость (5, 5)  |     не найдено     |
|  179  |       89205        |      142       |    17    |       10        | Размытость (5, 5)  |    [3710, 1308]    |
|  180  |       89205        |       88       |    19    |       17        | Размытость (5, 5)  |    [4390, 1238]    |
|  181  |       89205        |      155       |    14    |       12        | Размытость (5, 5)  |    [1036, 2094]    |
|  182  |       89205        |       51       |    5     |        5        | Размытость (5, 5)  |    [1636, 2067]    |
|  183  |       89205        |       34       |    14    |       13        | Размытость (5, 5)  |    [2344, 2009]    |
|  184  |       89205        |       32       |    3     |        3        | Размытость (5, 5)  |    [3038, 2000]    |
|  185  |       89205        |       77       |    29    |        4        | Размытость (5, 5)  |    [3668, 1487]    |
|  186  |       89205        |       20       |    1     |        0        | Размытость (5, 5)  |     не найдено     |
|  187  |       89205        |       72       |    11    |       11        | Размытость (5, 5)  |    [1025, 2754]    |
|  188  |       89205        |       85       |    12    |       11        | Размытость (5, 5)  |    [1684, 2754]    |
|  189  |       89205        |       6        |    0     |        0        | Размытость (5, 5)  |     не найдено     |
|  190  |       89205        |       51       |    3     |        3        | Размытость (5, 5)  |    [3110, 2645]    |
|  191  |       89205        |       66       |    19    |       18        | Размытость (5, 5)  |    [3766, 2632]    |
|  192  |       89205        |       26       |    0     |        0        | Размытость (5, 5)  |     не найдено     |
----------------------------------------------------------------------------------------------------------------------
Разница высот опорного изображения и области видимости: 25.0 раз.
Из 192 сравнений найдено координат: 150. процент нахождения - 78.1 %

----------------------------------------------------------------------------------------------------------------------


Время выполнения программы: 1 мин. 11 сек.
Из 704 сравнений найдено координат: 630. Средний процент нахождения - 89.5 %


Имитация высоты полета на 30.0 м. Разница высот с опорным изображением в 10.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Найдено %  | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------


Имитация высоты полета на 20.0 м. Разница высот с опорным изображением в 15.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Найдено %  | 100 % (20 из 20) | 100 % (20 из 20) | 95 % (19 из 20)  | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 100 % (20 из 20) | 95 % (19 из 20)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------


Имитация высоты полета на 15.0 м. Разница высот с опорным изображением в 20.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Найдено %  | 91 % (22 из 24)  | 83 % (20 из 24)  | 75 % (18 из 24)  | 87 % (21 из 24)  | 91 % (22 из 24)  | 79 % (19 из 24)  | 87 % (21 из 24)  | 79 % (19 из 24)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------


Имитация высоты полета на 12.0 м. Разница высот с опорным изображением в 25.0 раз.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
|            |  Без искажений   | Поворот 60 град  |Поворот -120 град | Поворот 180 град |   Яркость +30    |   Яркость -30    | Добавление шумов |Размытость (5, 5) |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Найдено %  | 83 % (20 из 24)  | 75 % (18 из 24)  | 70 % (17 из 24)  | 79 % (19 из 24)  | 83 % (20 из 24)  | 83 % (20 из 24)  | 83 % (20 из 24)  | 66 % (16 из 24)  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
